NAME,Area,Population,PopulationDensity,EducationLevel,Health,Religions,Age,Language,Housing,WorkDistance,GreenAvail,Crime,IncomeDeprivation,Employment,Emission,Average IMD index,Population change,Category
Alexandra Park,2.35,8834,3758,51.57,59.35,46.33,41,1.5,9.8,0.23,0.18,535.51,0.071,53.75,25.9,12.0,-0.12,1
Bounds Green,1.12,9832,8746,41.24,52.89,62.16,39,7,25,0.37,0.43,1352.31,0.14,55.64,46.7,22.4,0.21,2
Bruce Castle,1.08,13474,12439,28.02,49,73.74,37,11.6,40.2,0.47,0.47,3191.13,0.25,50.45,58.1,38.9,0.66,3
Crouch End,1.54,13037,8418,58.72,59.35,42.4,40,1.8,13.3,0.23,0.36,2043.89,0.08,61.06,46.4,15.1,-0.21,1
Fortis Green,1.93,12600,6506,51.68,58.61,49.3,38,1.7,12.3,0.27,0.26,593.18,0.08,54.98,32.1,13.1,0.09,1
Harringay,1.59,14572,9163,49.68,53.34,52.66,39,8.7,12,0.35,0.26,1890.56,0.14,63.17,62.2,25.5,0.53,2
Hermitage & Gardens,0.83,8437,10114,45.89,50.5,55.32,36,7.6,25.7,0.39,0.36,2590.50,0.13,65.35,61.0,23.6,1,2
Highgate,2.83,12765,4502,61.09,60.16,49.49,38,1.5,11.1,0.24,0.34,566.84,0.07,58.85,43.7,14.4,-0.87,1
Hornsey,1.30,15036,11554,51.94,54.76,47.83,39,3.1,25.8,0.27,0.40,1758.64,0.15,58.12,48.4,23.3,0.41,1
Muswell Hill,1.30,8775,6720,57.26,58.25,46.51,43,1.7,7.9,0.25,0.26,1278.71,0.06,57.53,40.3,13,-0.27,1
Noel Park,1.20,13715,11397,37.03,47.32,65.12,44,9.2,35.3,0.42,0.33,5243.55,0.198,56.46,61.0,33.9,0.11,2
Northumberland Park,1.97,14713,7448,26.93,48.1,76.31,41,11.9,41.3,0.48,0.51,2283.03,0.28,46.88,58.3,46.0,0.52,3
Seven Sisters,0.61,9237,14911,33.23,52.51,68.52,35,9.8,37.3,0.42,0.41,3922.51,0.21,54.01,60.4,32.9,0.1,3
South Tottenham,1.28,16827,13071,29.42,59.59,71.34,36,9.9,30.6,0.40,0.43,2825.95,0.19,50.01,58.0,34.4,1.1,3
St Ann's,0.71,10590,14883,37.44,50.71,63.35,41,10.7,25.3,0.39,0.35,2596.96,0.17,53.12,59.0,27.3,-0.29,2
Stroud Green,1.07,10790,10048,57.69,56.7,42.23,42,2.8,23.8,0.27,0.24,2141.52,0.12,64.71,54.4,20.0,-0.7,1
Tottenham Central,1.04,14742,14144,36.86,49.54,66.07,33,9.8,27.2,0.41,0.33,3011.51,0.21,55.85,62.1,34.6,1.1,3
Tottenham Hale,1.17,12174,10358,34.75,50.99,69.51,39,8.9,32.6,0.42,0.51,2611.06,0.22,51.32,59.6,34.4,4.7,3
West Green,1.50,14965,9932,39.12,49.71,65.48,36,9.3,26.5,0.39,0.32,1964.83,0.21,53.73,56.08,33.2,-0.07,2
White Hart Lane,1.68,13879,8229,29.81,46.64,72.45,37,10.5,39,0.44,0.19,1617.07,0.24,48.36,45.5,39.8,-0.11,2
Woodside,1.40,15240,10831,37.49,49.89,65.9,38,9.7,25.9,0.40,0.39,2341.15,0.16,56.26,57.9,28.2,0.25,2
